koi_kepmag,disposition,pl_radj,koi_impact,pl_trandur,depth,pl_orbper,pl_eqt,st_teff,st_logg,st_rad,pl_insol,st_dist,discoverymethod,st_mass,st_dens,sy_kmag,release_date
15.4,1,0.49067713444553485,0.355,10.5989,0.0027930999999999997,41.43958662,516.0,5468.0,4.367,1.046,16.72,,,,,,
15.317,1,0.2248193416004996,0.023,2.2514,0.0010416,8.35389523,790.0,5592.0,4.582,0.787,91.9,,,,,,
15.506,1,0.39521812828976716,0.597,3.1744,0.0014873,4.125543472,1243.0,6174.0,4.417,1.103,565.35,,,,,,
15.052,1,1.0893032384690875,0.105,2.50587,0.0168137,2.816504904,1219.0,5532.0,4.452,0.955,521.13,,,,,,
15.716,0,0.6548309394236774,0.812,14.561,0.008503700000000001,33.93373447,430.0,5040.0,4.628,0.705,8.11,,,,,,
15.242,1,0.1686145062003747,0.151,2.6557,0.00042669999999999996,3.689920099,1147.0,5880.0,4.518,0.917,408.99,,,,,,
15.367,1,0.28994557944508875,0.405,3.15,0.0010109,4.431238488,1104.0,5714.0,4.428,1.015,351.23,,,,,,
15.367,1,0.35239539655633867,0.911,2.6255,0.0010235,11.37936986,806.0,5714.0,4.428,1.015,99.68,,,,,,
15.234,1,0.27388705504505306,0.602,3.573,0.0015109000000000001,26.39432897,489.0,5129.0,4.595,0.763,13.49,,,,,,
12.882,1,0.23552502453385674,0.866,3.3539,0.0005117,13.57078281,785.0,5854.0,4.406,1.012,89.61,,,,,,
12.791,1,0.15969310375591045,0.898,3.0014,0.00019240000000000001,7.12594387,997.0,5779.0,4.339,1.087,233.31,,,,,,
15.27,0,1.3408867874029797,0.137,2.3078,0.0244462,7.442652004,967.0,6108.0,4.469,0.956,206.78,,,,,,
15.095,1,0.1784280488892854,0.001,3.0249,0.0011270999999999998,16.38489988,433.0,4126.0,4.661,0.615,8.35,,,,,,
15.095,1,0.19270229280042825,0.041,2.0805,0.0013061,7.8774163,553.0,4126.0,4.661,0.615,22.18,,,,,,
15.095,1,0.17753590864483898,0.028,4.007,0.0011223,36.4454001,332.0,4126.0,4.661,0.615,2.88,,,,,,
15.523,1,0.5370684271567491,0.558,2.683,0.0052265,3.728732147,1023.0,5497.0,4.577,0.809,258.34,,,,,,
15.487,1,0.6699973235792667,0.911,3.362,0.006256,40.4195037,467.0,5446.0,4.507,0.781,11.29,,,,,,
